,0,1
0,-15.122947,-17.830984
1,-17.752161,-19.913877
2,-15.758443,-17.310059
3,-17.449461,-19.859823
4,-15.594845,-20.756584
5,-15.040762,-17.416693
6,-16.985498,-18.520487
7,-14.99623,-18.106522
8,-14.708683,-18.19674
9,-14.769402,-16.86261
10,-13.953748,-16.486572
11,-15.568639,-16.878906
12,-15.499646,-20.58257
13,-15.625105,-16.88903
14,-12.888086,-19.94758
15,-16.06061,-18.48873
16,-15.711433,-20.81044
17,-14.19092,-18.410172
18,-16.299637,-18.58684
19,-12.85285,-19.885984
20,-16.645851,-18.451813
21,-13.373013,-18.972507
22,-15.968766,-19.1397
23,-15.180248,-20.823256
24,-11.916677,-18.137304
25,-13.067253,-19.317455
26,-15.86685,-18.280611
27,-16.725851,-19.407358
28,-15.104053,-17.676165
29,-16.03029,-19.940086
30,-14.6934395,-18.043642
31,-15.989143,-17.89505
32,-13.359179,-19.088621
33,-16.51037,-20.223362
34,-13.461705,-18.102144
35,-16.842115,-19.576176
36,-15.504061,-19.221968
37,-16.052074,-18.371756
38,-12.420725,-19.375051
39,-14.936825,-17.837038
40,-14.482643,-20.147118
41,-16.723665,-18.407064
42,-15.323748,-17.118992
43,-12.840496,-19.843048
44,-17.709639,-19.878263
45,-15.171867,-17.790607
46,-17.087841,-17.251057
47,-17.269716,-19.25311
48,-16.640816,-18.011814
49,-18.227415,-18.61978
50,-16.430243,-20.090239
51,-15.669213,-19.963352
52,-16.525661,-19.163893
53,-14.083653,-16.55706
54,-15.25245,-20.906507
55,-14.732456,-18.15827
56,-16.44882,-20.335928
57,-16.499096,-18.258108
58,-15.90551,-18.330603
59,-11.943593,-18.140709
60,-12.762945,-17.233723
61,-15.228784,-19.047354
62,-14.663891,-20.475973
63,-15.191196,-17.873753
64,-15.9966545,-19.51402
65,-16.706797,-20.80416
66,-16.560713,-17.42498
67,-11.863064,-18.161072
68,-13.473834,-17.682709
69,-16.436762,-19.66942
70,-16.62837,-19.863512
71,-16.837482,-19.886982
72,-13.719941,-17.30899
73,-12.54469,-19.126987
74,-14.751178,-18.61532
75,-16.363636,-18.439268
76,-15.4585905,-17.92177
77,-14.789871,-18.092566
78,-14.869336,-18.000809
79,-13.590942,-20.384018
80,-16.520527,-20.17482
81,-15.892242,-18.023848
82,-12.773864,-17.539608
83,-14.00876,-16.54638
84,-16.752333,-16.824602
85,-14.542585,-17.25272
86,-13.457956,-16.461546
87,-16.663126,-19.918356
88,-15.795243,-17.588781
89,-16.221039,-17.418379
90,-14.868036,-16.818295
91,-13.046526,-20.727076
92,-13.115377,-20.723318
93,-14.282916,-19.603819
94,-14.105834,-18.582987
95,-13.255498,-20.800636
96,-16.013618,-19.200891
97,-13.240133,-18.055876
98,-15.208491,-20.573145
99,-15.726485,-20.360666
100,-14.401682,-20.654045
101,-14.018175,-17.677626
102,-16.3726,-18.322826
103,-14.183184,-19.395458
104,-13.369396,-18.546915
105,-17.723604,-17.45806
106,-13.407325,-18.564129
107,-15.702196,-17.694931
108,-15.079082,-19.48604
109,-17.144257,-16.891195
110,-14.831554,-19.849293
111,-13.068979,-18.11025
112,-15.144882,-19.641647
113,-16.939571,-20.980024
114,-17.391167,-17.467663
115,-14.744676,-17.525015
116,-15.8096485,-19.06949
117,-13.12258,-18.339785
118,-16.541965,-19.606739
119,-15.431463,-18.261787
120,-18.163918,-17.601908
121,-15.137778,-19.149593
122,-16.841839,-18.571093
123,-13.243299,-19.551231
124,-13.758492,-20.153685
125,-13.19475,-17.036884
126,-12.911999,-17.578663
127,-12.587143,-19.562662
128,-14.643301,-19.01213
129,-12.679743,-17.596956
130,-17.295828,-18.47179
131,-17.41366,-18.365622
132,-13.16786,-18.55552
133,-14.350791,-21.089272
134,-13.300609,-16.874233
135,-13.411541,-18.105186
136,-16.603954,-19.185097
137,-17.685799,-17.549986
138,-18.048405,-18.20281
139,-16.50278,-18.373905
140,-17.197357,-18.997993
141,-17.057816,-18.719152
142,-14.649198,-20.087439
143,-15.508779,-17.848234
144,-16.29924,-18.829426
145,-13.688847,-20.186848
146,-13.843925,-18.529974
147,-13.899638,-18.485653
148,-13.833363,-18.507872
149,-16.3794,-19.636887
150,-13.547803,-20.331572
151,-13.608593,-19.013828
152,-16.056856,-18.999825
153,-15.759984,-18.876465
154,-13.8257065,-17.906109
155,-13.282001,-16.77229
156,-13.160519,-16.83581
157,-13.214603,-16.731787
158,-17.794704,-19.93985
159,-15.2707405,-19.938917
160,-16.14866,-19.757124
161,-17.188375,-18.822107
162,-18.173092,-17.881878
163,-14.2164,-19.731665
164,-16.652996,-18.840393
165,-16.301888,-18.108763
166,-12.65312,-17.648666
167,-14.854596,-21.096252
168,-17.390945,-19.004192
169,-15.992168,-20.84676
170,-14.175278,-18.464457
171,-14.408537,-18.027094
172,-15.349012,-20.678017
173,-12.861172,-17.373287
174,-13.107914,-17.136461
175,-18.368366,-17.452826
176,-18.300776,-17.371187
177,-12.788221,-17.385126
178,-18.201103,-17.398243
179,-18.124472,-17.409573
180,-12.780125,-17.474684
181,-12.909245,-16.875916
182,-13.221608,-16.867884
183,-13.215575,-16.845163
184,-12.917423,-16.88844
185,-13.175367,-16.933964
186,-13.208566,-16.86228
187,-12.934809,-16.931034
188,-12.811787,-16.810097
189,-12.753301,-16.847254
190,-12.811977,-16.84246
191,-13.466067,-17.313145
192,-12.761589,-17.517593
193,-14.151998,-18.916002
194,-15.791571,-20.52208
195,-13.112496,-17.330114
196,-14.446499,-19.747492
197,-17.520857,-18.685572
198,-16.5013,-20.266829
199,-16.185232,-19.886286
200,-15.699979,-19.692682
201,-15.522074,-16.91894
202,-14.190236,-19.64565
203,-13.838041,-19.292421
204,-15.010871,-18.202122
205,-14.992226,-20.541935
206,-15.991442,-17.518023
207,-15.24124,-19.65461
208,-15.4726925,-18.03318
209,-14.492878,-18.784822
210,-15.000481,-17.783596
211,-14.5433235,-18.983992
212,-16.880346,-20.385805
213,-12.758769,-17.53648
214,-12.761243,-17.58546
215,-12.647453,-17.939548
216,-16.919746,-20.408495
217,-12.840748,-17.278795
218,-12.734279,-17.430141
219,-12.669853,-17.056095
220,-13.317552,-17.645138
221,-17.008898,-20.314308
222,-18.138702,-18.10317
223,-14.012606,-19.84077
224,-13.340611,-17.345541
225,-14.498297,-16.50222
226,-15.675615,-17.480429
227,-14.429538,-19.136616
228,-16.019577,-19.00686
229,-13.596201,-19.360773
230,-15.600262,-19.105083
231,-13.442658,-16.648981
232,-15.009,-19.782505
233,-14.715173,-19.62886
234,-16.208618,-16.89415
235,-16.77933,-20.491396
236,-15.879555,-17.386309
237,-15.92712,-16.947252
238,-15.723584,-17.455305
239,-16.032974,-17.786585
240,-15.997859,-17.11736
241,-16.015629,-17.235239
242,-16.38893,-19.642115
243,-15.37312,-17.74867
244,-16.357122,-17.302895
245,-16.491573,-19.018661
246,-17.398201,-19.802359
247,-17.695448,-19.911177
248,-17.761421,-19.91867
249,-15.881588,-18.755102
250,-12.885338,-18.627726
251,-15.787567,-18.847351
252,-15.363268,-17.198267
253,-14.102757,-17.053558
254,-15.6078,-18.617998
255,-13.220874,-20.476042
256,-12.735807,-17.68306
257,-12.867426,-20.538881
258,-15.435388,-21.499884
259,-17.649551,-17.25669
260,-16.994404,-19.598003
261,-17.766655,-19.8865
262,-17.606737,-17.454084
263,-16.041231,-17.664318
264,-17.617252,-17.51025
