,0,1,2
0,-7.8073254,-6.0784855,-41.84334
1,-6.566569,-6.4204335,-40.18418
2,-7.9870152,-5.931244,-40.81065
3,-6.477081,-6.202678,-40.3893
4,-6.102859,-5.2154617,-42.84679
5,-8.188262,-5.2630134,-41.549423
6,-6.6664686,-4.615436,-40.4163
7,-8.003747,-6.14891,-42.285137
8,-8.057731,-5.9272575,-42.562714
9,-8.952217,-5.6623693,-41.586605
10,-9.651219,-5.077784,-41.778145
11,-8.451617,-5.807784,-40.67779
12,-6.0256896,-5.2701864,-42.659264
13,-8.334721,-5.702882,-40.598377
14,-8.157723,-4.6072397,-43.841618
15,-7.708715,-6.036728,-41.5256
16,-6.240503,-5.7783957,-42.49634
17,-8.199939,-4.8948607,-42.21143
18,-6.60591,-5.600175,-41.146294
19,-8.210269,-4.6300025,-43.918575
20,-6.75517,-5.877655,-41.117653
21,-7.947964,-3.631321,-43.023605
22,-6.5352783,-5.7438107,-41.516914
23,-6.354576,-5.50412,-42.899242
24,-7.769279,-2.5715418,-41.792458
25,-8.091131,-3.8141134,-43.435463
26,-7.9120984,-5.928557,-41.539967
27,-6.123824,-4.851683,-40.8956
28,-8.327978,-6.040347,-41.68085
29,-6.1729484,-4.506099,-41.881584
30,-8.125191,-5.8401647,-42.47494
31,-8.004269,-5.6789336,-41.268276
32,-7.5311055,-3.4161885,-42.79222
33,-5.9984307,-5.799178,-41.817295
34,-8.439467,-3.8503973,-42.399593
35,-5.955735,-6.0751243,-41.459435
36,-6.8372693,-4.996093,-41.832058
37,-6.7605677,-5.28923,-41.08464
38,-8.87716,-4.449025,-43.31304
39,-8.209155,-5.917775,-41.970184
40,-6.825944,-4.830505,-42.925964
41,-6.6724358,-6.403168,-41.220894
42,-8.140663,-6.281489,-41.28837
43,-8.25463,-4.743981,-43.794083
44,-6.557346,-6.393774,-40.210068
45,-8.232829,-6.108612,-41.830936
46,-7.203894,-5.162552,-39.5999
47,-5.9871373,-4.832613,-40.55329
48,-7.685821,-4.6790733,-40.310783
49,-6.369041,-3.7245517,-39.822876
50,-5.8928804,-5.16583,-41.58121
51,-6.287173,-4.258502,-42.022785
52,-6.5421176,-5.3767343,-41.19426
53,-9.597036,-5.2300973,-41.807663
54,-6.1289845,-5.580577,-42.88324
55,-8.11704,-5.930735,-42.144306
56,-5.8933463,-5.5237646,-41.606422
57,-6.9511914,-5.5798225,-40.568356
58,-7.727522,-6.0057974,-41.51628
59,-7.740892,-2.5774648,-41.783844
60,-8.64118,-3.0843253,-41.512684
61,-7.180913,-5.129342,-41.9572
62,-6.876952,-4.886805,-43.035477
63,-8.290221,-5.6397543,-41.721203
64,-6.509599,-4.681445,-41.480972
65,-7.0745273,-6.75971,-41.989113
66,-7.5569677,-5.4568586,-40.156357
67,-7.700745,-2.5674574,-41.78855
68,-9.065606,-4.0059776,-42.11625
69,-6.1629696,-5.666584,-41.42602
70,-6.04236,-5.6577024,-41.497204
71,-5.760924,-5.183376,-41.19739
72,-9.183255,-4.020872,-41.785103
73,-8.870556,-4.5503,-42.97025
74,-7.8824897,-5.41743,-42.285946
75,-6.645739,-6.0597353,-41.761684
76,-8.078461,-6.211555,-41.60606
77,-7.948404,-6.10054,-42.36344
78,-8.216368,-5.814402,-42.171314
79,-7.468829,-4.3887334,-43.568092
80,-5.6391826,-5.2369194,-41.64808
81,-7.2288003,-6.241409,-41.6067
82,-8.479449,-3.1446455,-41.73811
83,-9.6075115,-5.1400514,-41.76593
84,-7.774228,-5.5455303,-39.846798
85,-8.663338,-4.0916862,-41.20941
86,-8.804652,-3.5980897,-40.75484
87,-5.967428,-5.581002,-41.439625
88,-7.4723697,-6.39102,-41.183098
89,-7.4489574,-6.1041107,-40.583214
90,-8.737578,-4.744377,-40.84593
91,-8.423772,-5.724548,-43.607925
92,-8.401329,-5.652613,-43.496895
93,-7.0634274,-3.911089,-42.68305
94,-8.34166,-5.0265613,-42.75171
95,-8.394141,-5.655588,-43.54282
96,-6.487877,-4.4840446,-41.547718
97,-8.334178,-3.7023468,-41.99855
98,-6.395754,-4.907493,-42.777756
99,-6.0016646,-5.250829,-42.217056
100,-6.7976804,-4.901119,-43.105484
101,-8.696955,-4.655896,-42.063107
102,-6.787334,-5.812245,-41.36063
103,-7.0910053,-4.165102,-42.096115
104,-7.704211,-3.4852839,-41.816795
105,-7.524224,-4.459703,-39.385994
106,-7.7596717,-3.5010822,-41.81138
107,-7.8516526,-5.706584,-41.498093
108,-7.01323,-4.495917,-41.916515
109,-7.4105816,-5.3279543,-39.489258
110,-6.4364433,-4.0096173,-42.723427
111,-7.6876206,-3.1201997,-41.813416
112,-6.7664566,-4.956693,-42.250214
113,-6.8710623,-7.1023707,-42.00308
114,-7.0272803,-4.855188,-39.510708
115,-8.6667,-5.514007,-42.179966
116,-6.6039696,-5.9247375,-42.00125
117,-7.9020886,-3.445832,-42.06912
118,-6.1050887,-5.4756293,-41.2469
