,0,1
0,4.9485693,-6.833234
1,9.227569,-6.0560737
2,7.712449,-5.5975666
3,7.014065,-6.683224
4,5.1800227,-5.347091
5,5.4639606,-6.3233514
6,8.906704,-5.2592707
7,7.5622015,-6.776143
8,9.14004,-6.1165266
9,8.781388,-5.270487
10,5.1680913,-5.38771
11,5.28794,-5.2970924
12,8.179159,-6.538963
13,7.736174,-4.7690268
14,7.643004,-4.7503877
15,7.491837,-4.6235414
16,7.6523547,-4.8586426
17,7.5724106,-4.9145436
18,7.385645,-4.992423
19,7.1444473,-5.1658034
20,7.1961083,-5.4408026
21,9.112094,-5.650661
22,7.511402,-6.6328316
23,7.1914554,-3.8876572
24,5.423453,-2.9289057
25,5.0185075,-2.786836
26,5.058587,-2.7781816
27,5.037474,-2.7481694
28,5.0693145,-2.808521
29,5.0954213,-2.8550582
30,5.302523,-2.9717152
31,5.340643,-2.9610069
32,5.347361,-2.8685987
33,5.387044,-2.932066
34,5.3672266,-3.0041258
35,5.0256305,-2.817152
36,5.3234925,-2.973568
37,5.3051567,-2.918215
38,5.0712466,-2.7913313
39,5.3554783,-2.9840167
40,5.3373694,-2.885026
41,5.330537,-2.965687
42,5.412447,-3.0014122
43,5.039158,-2.8546686
44,8.726649,-5.694798
45,6.666769,-3.5929058
46,8.440084,-3.3020136
47,8.437229,-3.2112434
48,8.401905,-3.491293
49,8.378096,-3.158392
50,8.434638,-3.1440008
51,7.0127983,-2.555754
52,5.6273675,-5.88992
53,5.583926,-5.6324153
54,5.538172,-5.8564215
55,6.5885534,-5.7534075
56,5.446425,-5.7328
57,5.4167743,-5.8581376
58,8.4087515,-3.2323987
59,8.494661,-3.1162956
60,8.292338,-6.2665405
61,8.46491,-3.1793146
62,8.369677,-3.3672428
63,8.538271,-3.3222842
64,8.425007,-3.1470666
65,8.4454365,-3.1041107
66,8.453457,-3.1648495
67,8.476498,-3.1543887
68,8.467848,-3.444018
69,8.40797,-3.1879814
70,8.282205,-3.776595
71,8.395052,-3.3101423
72,8.372546,-3.3138657
73,8.41217,-3.1441472
74,8.453764,-3.1686728
75,8.387163,-3.1482325
76,8.441453,-3.1458278
77,8.45503,-3.203405
78,8.439683,-3.2237437
79,8.38966,-3.2173526
80,8.414859,-3.2698588
81,8.385595,-3.2566874
82,6.817014,-5.201225
83,5.9629955,-5.0775647
84,5.898277,-5.12488
85,5.870301,-5.2555804
86,6.517061,-4.6930156
87,6.7416315,-4.575307
88,6.7649417,-4.9619937
89,6.428729,-6.641733
90,6.6271815,-4.894933
91,6.8940573,-4.890286
92,6.615966,-4.8060937
93,6.623316,-4.814162
94,6.787864,-4.853182
95,6.6688905,-4.8755727
96,6.5992265,-4.7821503
97,6.6145873,-4.7630672
98,6.7309823,-4.979466
99,8.810136,-6.0201426
100,5.9042215,-5.930231
101,5.864126,-5.7426615
102,5.5649667,-6.1051736
103,5.834536,-5.980238
104,6.0527043,-5.766853
105,5.9272556,-6.7503757
106,7.9368773,-5.556631
107,8.124608,-4.6647935
108,6.1252794,-6.4615498
109,7.815557,-5.4641123
110,7.066848,-5.3791633
111,5.0825405,-5.032194
112,7.6395545,-5.5098925
113,7.477117,-5.606953
114,7.6081934,-5.429029
115,7.894987,-5.1959915
116,5.913955,-5.2057834
117,6.1062093,-4.9789643
118,6.084867,-5.194078
119,4.7602463,-5.502625
120,5.85514,-5.0756345
121,5.396676,-6.496771
122,5.304643,-6.341609
123,5.4511123,-6.364072
124,5.4256325,-6.4612646
125,4.9381433,-4.7664223
126,5.462636,-6.2905197
127,5.4173837,-6.3580737
128,7.927525,-4.338825
129,7.39322,-4.8230357
130,4.79005,-4.810811
131,4.8393393,-4.785308
132,5.449418,-5.351882
133,5.377938,-6.3961387
134,8.738191,-5.6991534
135,4.8530893,-4.743868
136,5.70511,-6.5101266
137,5.561534,-5.527685
138,4.8443527,-4.8083935
139,5.095727,-4.9064364
140,6.946545,-6.7542634
141,5.8088636,-3.8245387
142,4.9001603,-4.774765
143,5.7645373,-3.8698628
144,7.0766563,-6.736903
145,5.667616,-3.9663465
146,8.249933,-4.7406197
147,6.9307303,-6.5835943
148,8.329375,-4.6070795
149,5.88044,-3.75858
150,5.767287,-3.6518438
151,5.753872,-3.8995235
152,6.8468976,-6.82011
153,6.8908544,-6.7599807
154,8.124995,-4.567221
155,8.64279,-6.229973
156,5.29506,-5.480847
157,4.8805346,-5.011003
158,4.9722147,-4.9504824
159,9.114732,-5.953147
160,8.701139,-5.5982533
161,8.583738,-6.040929
