,0,1,2
0,-3.5019085,-2.592932,-16.748707
1,-4.374982,-1.2557628,-18.480164
2,-3.961447,-2.8219395,-16.546413
3,-3.8181865,-0.84387505,-16.374723
4,-4.5682125,-0.4453124,-18.166407
5,-3.0538354,-2.1329784,-17.176683
6,-4.4488626,-2.6890705,-17.958387
7,-4.7335052,-1.4179478,-18.750566
8,-5.1921544,-0.37337652,-18.239464
9,-4.9917736,-0.7267702,-16.650372
10,-6.117213,-0.6833629,-17.40728
11,-6.410525,-1.7986712,-18.55023
12,-6.0269613,-1.7077947,-18.019466
13,-3.74884,-2.670799,-18.056385
14,-4.5545607,-0.84821624,-16.684109
15,-5.522345,-0.57194185,-18.028553
16,-4.9627333,-0.7488381,-16.36636
17,-3.0315077,-1.3420666,-16.502907
18,-4.8678126,-2.4237082,-15.497324
19,-3.801932,-0.32456607,-17.105345
20,-3.0731006,-0.6797969,-17.511427
21,-4.868894,-0.4530564,-16.21511
22,-4.7524276,-0.47716948,-16.2283
23,-5.8858194,-1.8595722,-15.637246
24,-3.02678,-1.851813,-18.34093
25,-6.0512347,-0.76909363,-17.40157
26,-3.0986397,-1.3990588,-18.046524
27,-5.8311086,-2.3942568,-17.481718
28,-5.791484,-2.3593118,-17.400108
29,-4.037201,-2.7171931,-18.443089
30,-3.1816952,-0.6747529,-17.379528
31,-5.8566875,-2.7938702,-17.7182
32,-4.4882116,-2.3329616,-19.096752
33,-6.3209915,-3.0323594,-18.659885
34,-3.1858237,-2.027453,-17.925581
35,-2.8526819,-2.2450972,-17.686028
36,-2.8630593,-2.171153,-17.757767
37,-3.1507285,-2.8286953,-18.061897
38,-3.1393387,-2.7854342,-17.988653
39,-3.0815744,-2.8309364,-18.102503
40,-3.458111,-2.1956549,-16.77245
41,-5.4834876,-0.5707102,-18.082727
42,-5.4253845,-0.80043435,-18.005262
43,-5.033928,-0.22376934,-17.640142
44,-3.624792,-2.0828395,-16.586426
45,-4.818852,-2.6007397,-17.634714
46,-5.8130856,-2.706529,-18.530077
47,-4.0672493,-2.8782778,-16.773052
48,-5.8142786,-0.7875792,-17.906645
49,-4.8101497,-2.5417833,-19.127825
50,-2.9400647,-1.6576921,-16.60794
51,-5.7528486,-3.1973028,-16.173273
52,-4.7999887,-2.2507439,-16.144178
53,-3.4771764,-2.1977713,-16.690641
54,-6.2450094,-2.3931088,-17.160301
55,-3.390311,-0.7700171,-18.108112
56,-3.6663625,-2.731723,-17.669373
57,-5.3735557,-1.4198458,-16.045296
58,-5.938012,-2.397222,-18.329266
59,-3.652612,-3.3804421,-17.79779
60,-5.473195,-0.8259657,-17.474312
61,-3.3996618,-1.8633645,-16.47251
62,-6.3585567,-2.5423627,-17.17806
63,-2.9738638,-0.84589106,-17.331722
64,-4.908016,-1.39865,-18.783163
65,-5.8493266,-4.0752773,-15.437205
66,-5.5923557,-3.43633,-17.75754
67,-5.8082614,-2.5104985,-17.855127
68,-6.8110723,-2.043527,-17.50676
69,-3.4178915,-0.66377085,-16.701992
70,-6.8025494,-2.0594468,-17.487467
71,-6.723609,-2.083929,-17.468302
72,-6.591638,-1.8532807,-17.58214
73,-6.711792,-2.3145306,-16.960817
74,-6.6764603,-2.280638,-17.013336
75,-3.7473485,-0.580372,-16.627064
76,-5.6847878,-1.8571069,-17.071407
77,-3.9266212,-3.0094597,-17.797447
78,-5.68089,-3.5385606,-17.770266
79,-5.6815124,-2.4174776,-18.88767
80,-6.237992,-3.300591,-17.085777
81,-5.5208244,-2.975788,-17.764627
82,-5.6084847,-2.8163245,-16.82666
83,-5.701563,-2.4256282,-15.735164
84,-2.9895148,-2.4835842,-17.082087
85,-3.2761757,-2.5384634,-17.030361
86,-2.8983185,-2.3337781,-17.133726
87,-5.835394,-2.7442424,-18.583656
88,-2.9994519,-1.8756348,-18.315174
89,-5.4812155,-2.9111385,-19.064188
90,-4.946328,-0.5286266,-17.398396
91,-5.5531187,-3.1648011,-18.144945
92,-5.7429566,-3.6053553,-17.719645
93,-5.588963,-3.1289246,-18.19116
94,-3.0130792,-1.8982892,-18.252934
95,-3.8807194,-1.5142704,-18.760878
96,-5.0509205,-0.3466142,-16.869215
97,-3.059479,-1.6578894,-16.576956
98,-5.5316014,-3.075844,-18.967186
99,-2.672696,-2.8775537,-16.073507
100,-2.8341541,-2.7096972,-16.12248
101,-2.8893352,-2.854161,-16.165085
102,-2.9064028,-2.5114346,-15.478628
103,-6.1113577,-2.8141687,-17.679735
104,-5.374624,-3.2343216,-17.46688
105,-3.4359279,-0.37550348,-17.378794
106,-3.7767339,-3.1364446,-16.945824
107,-2.9281397,-1.4638443,-17.56757
108,-3.4482305,-2.7504988,-17.280462
109,-4.693507,-2.8895245,-17.955923
110,-5.3268337,-1.3595479,-15.89491
111,-5.397256,-3.0865388,-17.346954
112,-5.9708033,-2.5364206,-17.391905
113,-3.7746453,-0.28748807,-17.832699
114,-5.815272,-4.021655,-15.473542
115,-5.857909,-4.088933,-15.424082
116,-5.847795,-4.0626416,-15.447807
117,-5.8166423,-4.0202575,-15.5010605
118,-5.8553486,-4.0707126,-15.431533
119,-5.0366244,-1.1979344,-15.898945
120,-5.396242,-2.9212534,-18.968237
121,-2.8550022,-1.3067482,-17.300951
122,-5.363161,-0.58771896,-18.044022
123,-2.8560603,-2.3575375,-17.115273
124,-6.2015085,-3.3071744,-17.140484
125,-3.16511,-1.4134506,-16.485527
126,-5.9383154,-2.3528855,-18.655539
127,-3.2273438,-1.1196617,-18.519794
128,-3.628775,-0.80012596,-16.291502
129,-5.9930573,-0.8678872,-17.990786
130,-3.0136876,-2.6055217,-18.072351
131,-3.0117624,-2.542776,-17.018322
132,-3.5959067,-3.2647855,-17.809347
133,-3.195113,-1.1937625,-18.44158
134,-5.5925784,-0.6788847,-16.782347
135,-4.8620095,-3.1680198,-18.585842
136,-6.2212048,-2.9978604,-18.090038
137,-6.23336,-3.0253522,-18.043997
138,-4.732416,-3.2657745,-18.319563
139,-6.2151804,-2.9383514,-17.59365
140,-3.4795008,-1.7969949,-18.530409
141,-7.051045,-2.6903005,-16.189005
142,-3.3176377,-0.643144,-18.015295
143,-6.1140976,-1.7892555,-18.245874
144,-3.710794,-2.6148908,-18.40763
145,-3.6198077,-0.4715333,-17.011166
146,-3.8225803,-0.2956532,-16.667685
147,-3.1085882,-1.7351012,-18.309614
148,-5.419994,-0.51036453,-18.180565
149,-2.9046295,-1.5308422,-17.149277
150,-2.9842384,-2.468971,-15.585908
151,-6.3372693,-2.1024475,-17.513277
152,-6.1870995,-2.8618243,-17.183374
153,-6.159294,-2.9239829,-17.196316
154,-6.067268,-2.547591,-17.889156
155,-6.2127643,-2.266451,-17.427483
156,-5.9119515,-1.984639,-17.474133
157,-5.800223,-2.0326009,-18.695623
158,-6.4139557,-1.8332599,-18.479702
159,-5.656754,-2.5347004,-17.32881
160,-4.125987,-1.2403494,-18.915401
161,-5.73412,-1.842797,-16.165062
162,-3.0336623,-1.9667712,-18.377039
163,-2.925439,-1.7229518,-17.820377
164,-6.10546,-2.829084,-16.992334
165,-4.298269,-0.65600204,-18.745487
166,-3.9783702,-2.271075,-18.801538
167,-4.2256474,-0.73198336,-18.720762
168,-6.3602138,-2.799966,-17.761108
169,-5.4957566,-1.8089741,-16.265238
170,-5.896337,-1.8914958,-15.6839
171,-5.534824,-2.8612552,-19.045572
172,-4.1193256,-0.2686362,-18.119572
173,-3.863991,-1.2429966,-16.254557
174,-5.4791884,-3.313281,-18.007065
175,-5.5060167,-3.3879447,-18.07951
176,-5.3698654,-3.129822,-18.388964
177,-3.3113816,-0.52424145,-17.171024
178,-5.565679,-2.3123393,-18.212856
179,-3.4404817,-1.804793,-18.567223
180,-3.6934757,-2.5822375,-18.12153
181,-4.242236,-0.16762401,-17.862972
182,-6.26439,-3.3088655,-17.078104
183,-6.7264037,-2.865665,-17.467224
184,-5.286787,-3.093843,-18.529612
