,0,1,2
0,3.2172241,-0.1488841,-2.4597208
1,5.1501617,0.4737889,-3.5635643
2,4.9624496,0.5246284,-3.2484152
3,4.933811,0.6577844,-3.158793
4,4.8240676,0.61068785,-3.2984223
5,4.7865334,0.5254532,-2.9245226
6,5.0051794,0.52743703,-3.3592265
7,4.553079,0.6736864,-3.165084
8,5.0641823,0.713896,-3.2160625
9,4.8738394,0.6348783,-3.4727702
10,5.4520025,0.5534948,-3.4564834
11,4.3788834,0.5860646,-3.333049
12,4.8690553,0.44044587,-2.8809896
13,5.756981,0.03327228,-3.4103577
14,5.7784505,0.14187552,-3.393019
15,5.808292,0.06612279,-3.3987503
16,5.7762,0.10606803,-3.3649938
17,5.9415555,0.3404152,-3.257312
18,5.8939543,0.29510075,-3.3409364
19,5.7373056,0.21835935,-3.401671
20,5.729605,0.14691141,-3.4532
21,5.257638,0.4633739,-3.220087
22,4.392736,1.1687102,-3.4749045
23,6.0238175,1.262056,-3.960749
24,-8.447597,3.2211053,9.316689
25,-8.437718,3.2077212,9.306956
26,-8.44485,3.2170343,9.314079
27,-8.40996,3.1805775,9.279177
28,-8.425707,3.1968434,9.295031
29,-8.438632,3.2226896,9.30821
30,-8.431082,3.204409,9.300161
31,-8.432775,3.2061126,9.301999
32,-8.399921,3.1733172,9.26919
33,-8.440781,3.2116032,9.310146
34,-8.454132,3.2268991,9.323489
35,-8.450014,3.2215233,9.319313
36,-8.444084,3.1970685,9.31305
37,-8.453718,3.2267056,9.323035
38,-8.426422,3.20175,9.295749
39,-8.4179735,3.18992,9.287177
40,-8.433125,3.2064133,9.3023615
41,-8.441589,3.2160313,9.310721
42,-8.399959,3.1700246,9.268443
43,-8.413672,3.185862,9.282834
44,4.7555323,0.7362024,-3.0736923
45,5.995639,1.2036515,-3.9410024
46,7.1895533,2.103974,-3.435556
47,7.1819973,2.0969296,-3.4545722
48,7.0329924,2.018931,-3.433917
49,7.09519,2.0759547,-3.364965
50,7.0063596,2.177209,-3.3171072
51,6.667245,2.156134,-4.7380075
52,-6.4698105,-0.46675923,-4.3571095
53,-6.4966717,-0.44471338,-4.3307285
54,-6.4839873,-0.456363,-4.3450794
55,5.3826094,0.6736061,-3.4287992
56,-6.4725833,-0.46866417,-4.356539
57,-6.4996614,-0.444023,-4.3315034
58,7.2128234,2.1407402,-3.4124959
59,7.147588,2.1147473,-3.4064808
60,5.007249,0.5851645,-3.3470795
61,7.176701,2.133942,-3.4085207
62,7.221094,2.15899,-3.4475765
63,6.8762927,1.9825388,-3.4069576
64,6.9060354,1.9890476,-3.376832
65,7.212963,2.1319673,-3.4170055
66,7.1128836,2.1204734,-3.2944026
67,7.2150187,2.1584404,-3.429428
68,6.968505,1.9592773,-3.4549663
69,7.1099615,2.1116302,-3.3393576
70,6.842091,1.9948119,-3.291877
71,7.03028,1.989273,-3.4252927
72,7.1055183,2.0869439,-3.3671222
73,7.121935,2.1532643,-3.3330865
74,6.988061,2.0652587,-3.2623832
75,7.0546637,2.0649595,-3.288919
76,7.067927,2.1013973,-3.310021
77,6.9837027,2.1191332,-3.33241
78,7.0384035,2.1275616,-3.3437955
79,7.0101686,2.1158054,-3.320294
80,6.946037,2.0982893,-3.3552084
81,6.942125,2.1599758,-3.2996516
82,5.1299143,0.7951654,-4.993128
83,5.079902,0.6990462,-5.169093
84,5.0603323,0.6377077,-5.2131243
85,5.0353827,0.61125857,-5.1458664
86,5.361532,2.7698724,-2.377032
87,5.409005,2.529622,-2.3729398
88,5.4993424,3.560519,-1.7660056
89,5.0034194,0.9764165,-3.1773834
90,5.524093,3.4621043,-1.8239753
91,5.5566564,3.5760365,-1.7368276
92,5.550164,3.5345902,-1.7870249
93,5.497827,3.5301516,-1.7926399
94,5.5476503,3.5814412,-1.7546136
95,5.497976,3.4482994,-1.8684254
96,5.5189543,3.5690517,-1.7584958
97,5.522282,3.5254824,-1.7952089
98,5.059882,0.6051967,-3.0760782
99,3.7466717,1.844825,-2.4096127
100,3.7109008,1.8552532,-2.365758
101,3.759876,1.7935885,-2.5144908
102,3.6538785,1.9094702,-2.376578
103,4.937075,0.8822908,-2.9693024
104,4.7386274,0.92817664,-2.8194268
105,4.672067,1.1840775,-3.4848223
106,4.3166757,1.0258496,-3.7559495
107,3.777809,1.8727617,-2.9052827
108,5.0169706,0.73247427,-3.6844966
109,4.706503,0.8506794,-3.6038387
110,-16.840473,-1.1904999,-1.5217538
111,4.601342,1.0096515,-3.1718264
112,4.5628767,0.98641586,-3.1432192
113,4.961125,0.62840563,-3.73972
114,4.9060864,0.5538954,-3.5159762
115,6.927237,1.0252283,-4.3800964
116,6.8733335,1.033799,-4.354623
117,6.8995843,1.0331566,-4.3658857
118,4.359767,0.6705256,-3.7973764
119,6.9591603,1.0730432,-4.383932
120,3.7484663,2.0659924,-2.7714484
121,3.735654,2.0592794,-2.8007495
122,3.7663612,1.8670126,-2.9959495
123,3.749528,2.0594711,-2.7851312
124,-16.838154,-1.1918167,-1.5239645
125,3.8595223,1.9890454,-2.7999876
126,3.8365223,2.0894356,-2.8222709
127,4.3849635,1.039453,-3.7011034
128,5.6686206,0.92989856,-4.4813204
129,-16.847248,-1.1833521,-1.5148207
130,-16.81005,-1.2199534,-1.5520759
131,3.658912,2.214714,-3.7840798
132,3.8167562,2.0817697,-2.799767
133,5.156641,1.0287793,-3.4353218
134,-16.856031,-1.1636344,-1.4960103
135,4.2872586,1.4927417,-2.67201
136,3.5921702,2.1899657,-3.9020607
137,-16.844679,-1.1869227,-1.5185317
138,-16.836863,-1.1921854,-1.5245556
139,4.4932313,1.6832489,-2.8009005
140,4.6261635,1.9088217,-4.701289
141,-16.849659,-1.1859168,-1.5135137
142,4.6185927,1.9398743,-4.6726236
143,4.4674206,1.5802611,-2.9146032
144,4.6921253,1.9505261,-4.6217237
145,5.79794,0.8420932,-4.3763347
146,4.6076593,1.4224942,-2.9670267
147,5.756607,0.8821104,-4.4354005
148,4.6528597,1.9149522,-4.6531067
149,4.6257615,1.9468378,-4.6869082
150,4.615429,1.94197,-4.6865916
151,4.5660114,1.7745734,-2.8492906
152,4.4634733,1.8964429,-2.7775335
153,5.721063,0.8835544,-4.4337296
154,5.046045,0.5193268,-3.297655
155,3.6287634,2.1443758,-3.8648608
156,-16.848171,-1.1882993,-1.5152006
157,-16.838888,-1.1930631,-1.5250845
158,5.270442,0.66623056,-3.1902418
159,4.7175345,0.90474683,-3.4711583
160,5.113015,0.608752,-3.2820017
161,5.5174837,0.024363345,-1.823786
162,5.045077,0.81181526,-2.5782728
163,5.167442,0.8065217,-3.4233131
164,4.805449,0.7872621,-2.9091504
165,5.1331596,0.55027556,-3.550139
166,5.0063105,0.8753516,-2.9441707
167,4.8714523,0.62073463,-3.1787405
168,4.3334537,0.6079131,-3.2929757
169,4.6545835,0.8571561,-3.4093826
170,4.988599,0.5936927,-3.4274023
